[2010-11-01 22:00:49,660] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:00:52,009] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:00:54,361] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:00:56,717] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:00:59,063] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:01:01,613] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:01:04,153] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:01:06,476] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:01:09,020] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:13:44,935] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:13:47,178] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:13:49,435] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:13:51,690] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:13:53,952] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:13:56,199] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:13:58,465] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:14:00,722] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:14:02,985] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:14:05,244] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:14:07,509] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:14:09,762] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:14:12,023] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:52:40,158] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:52:42,620] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:52:45,101] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:58:36,263] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:58:43,640] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_lis
[2010-11-01 22:58:46,021] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_lis
[2010-11-01 22:58:48,589] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_lis
[2010-11-01 22:58:51,147] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_lis
[2010-11-01 22:58:53,702] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_lis
[2010-11-01 22:58:56,256] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_lis
[2010-11-01 22:58:58,636] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_lis
[2010-11-01 22:59:00,972] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_lis
[2010-11-01 22:59:03,461] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_lis
[2010-11-01 22:59:06,005] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_lis
[2010-11-01 22:59:08,590] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_lis
[2010-11-01 23:04:04,006] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/.done
[2010-11-01 23:04:06,285] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/.done
[2010-11-01 23:04:08,572] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/.done
[2010-11-01 23:04:10,846] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/.done
[2010-11-01 23:04:13,143] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/.done
[2010-11-01 23:04:15,421] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/.done
[2010-11-01 23:04:17,724] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/.done
[2010-11-01 23:04:20,013] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/.done
[2010-11-01 23:04:22,316] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/.done
